요리,종류,난이도,소요시간,링크,재료,재료수
꼬시래기 물냉면,메인요리,1,20,https://wtable.co.kr/recipes/GdRMuEBF9nXVJAtqw1aJymay?location=recipe_home,소금 식초 고춧가루 고추장 달걀 꼬시래기 참기름 쌈무 매실청 오이 용냉면육수 통깨,12
닭죽,메인요리,1,30,https://wtable.co.kr/recipes/QawUyVgt3e5wvCT9dhiPNiuF?location=recipe_home,물 찹쌀밥 소금 닭가슴살 통마늘 다진당근 참기름 통깨,8
생채소 참치비빔밥,메인요리,1,20,https://wtable.co.kr/recipes/VxEeT7YiZ5QQETGmjUjdzGSy?location=recipe_home,양조식초 참치캔 설탕 상추 고춧가루 어린잎채소 당근 양파 고추장 밥 간장 다진마늘 참기름 깻잎 새싹 통깨,16
등갈비강정,메인요리,2,40,https://wtable.co.kr/recipes/1nyadXLMLxWsNiL3yFD5Zm2M?location=recipe_home,설탕 물 생강 파채 식용유 청주 고추장 굴소스 올리고당 페페론치노 땅콩가루 통후추 돼지등갈비 다진마늘 간장 후춧가루 생강가루 맛술,18
앤초비 파스타,메인요리,1,20,https://wtable.co.kr/recipes/PJwQfoHitXrpY8n3BN8kBhT1?location=recipe_home,레몬제스트 소금 파스타면 앤초비 케이퍼 루꼴라 마늘 면수 후춧가루 올리브오일,10
부지깽이 솥밥,메인요리,1,40,https://wtable.co.kr/recipes/6DnHaEyJt2AUb39p3EK98ghG?location=recipe_home,쌀 고춧가루 다진양파 올리고당 들기름 간장 다진마늘 부지깽이 다시마육수 통깨,10
얼큰 오징어 뭇국,메인요리,1,30,https://wtable.co.kr/recipes/bpPXeJtTHWraDkouxwaWpVHy?location=recipe_home,멸치다시마육수 오징어 물 참치액젓 홍고추 소금 국간장 무 고춧가루 청양고추 들기름 다진마늘 대파,13
소고기 알배추찜,메인요리,1,20,https://wtable.co.kr/recipes/U3GV216jHFmaW4YedMYFxezq?location=recipe_home,설탕 소금 식초 소고기목심샤브샤브용 다진샬롯 청주 청양고추 간장 매실청 알배추 후춧가루 생강가루 맛술,13
고등어조림,메인요리,2,40,https://wtable.co.kr/recipes/zQ6SP9mxcPJUUTc9Q298xw6L?location=recipe_home,물 고춧가루 다진마늘 후춧가루 감자 소금 무 고추장 멸치액젓 홍고추 물엿 식초 청양고추 양파 조림용고등어 대파 맛술 생강 된장 간장,20
대파수프,메인요리,1,30,https://wtable.co.kr/recipes/GLiBgcjHUXEoxB3dGHPgQfCz?location=recipe_home,캐슈넛 감자 소금 채수 크루통 후춧가루 올리브오일 대파,8
대파그라탕,메인요리,1,30,https://wtable.co.kr/recipes/JyHPoLXkZ5m8Xu9rt1cfyUE4?location=recipe_home,디종머스타드 두유 뉴트리셔널이스트 파슬리 소금 코코넛밀크 타임 후춧가루 대파,9
[우정욱 요리연구가] 아롱사태 해파리냉채,메인요리,1,30,https://wtable.co.kr/recipes/71C1t7j1eSgsBZp1K3RaV8pU?location=recipe_home,설탕 아롱사태 배 현미식초 소금 백오이 강겨자 잣 간장 손질해파리 레몬즙 다진마늘 분홍대하새우 매실청 참기름,15
[우정욱 요리연구가] 봄 채소 영양솥밥,메인요리,2,40,https://wtable.co.kr/recipes/iKnuu9Ro34oKaCNdrGCLbF8V?location=recipe_home,미림 물 깻잎순 설탕 쌀 우엉 소금 흑곤약 당근 냉이 양조간장 술 현미튀김 생표고 다시마육수 냉동유부,16
냉이페스토 라자냐롤,메인요리,1,20,https://wtable.co.kr/recipes/kNhPHyAJ1nsht7senDmDEnKq?location=recipe_home,올리브오일 물 라자냐면 아몬드 소금 리코타치즈 파르미지아노레지아노치즈 냉이 마늘 레몬즙 후춧가루 호두,12
