시군구명,골프연습장,크로스핏,테니스,풋살장,필라테스,헬스장,총센터수
강남구,326.0,10.0,18.0,1.0,167.0,297.0,819.0
강동구,63.0,3.0,6.0,0.0,35.0,73.0,180.0
강북구,14.0,0.0,2.0,0.0,23.0,40.0,79.0
강서구,72.0,5.0,11.0,0.0,96.0,172.0,356.0
관악구,42.0,3.0,5.0,0.0,38.0,119.0,207.0
광진구,57.0,3.0,6.0,0.0,45.0,114.0,225.0
구로구,48.0,3.0,4.0,0.0,31.0,83.0,169.0
금천구,32.0,0.0,0.0,1.0,14.0,55.0,102.0
노원구,61.0,2.0,9.0,0.0,35.0,81.0,188.0
도봉구,35.0,2.0,2.0,0.0,27.0,67.0,133.0
동대문구,45.0,3.0,3.0,0.0,33.0,88.0,172.0
동작구,36.0,3.0,6.0,0.0,37.0,64.0,146.0
마포구,48.0,6.0,5.0,0.0,66.0,121.0,246.0
서대문구,20.0,1.0,10.0,0.0,32.0,60.0,123.0
서초구,156.0,5.0,14.0,0.0,85.0,199.0,459.0
성동구,44.0,2.0,5.0,0.0,36.0,65.0,152.0
성북구,40.0,1.0,4.0,1.0,43.0,70.0,159.0
송파구,123.0,8.0,17.0,2.0,107.0,183.0,440.0
양천구,61.0,1.0,8.0,3.0,47.0,97.0,217.0
영등포구,82.0,8.0,10.0,2.0,54.0,96.0,252.0
용산구,26.0,2.0,5.0,1.0,39.0,55.0,128.0
은평구,45.0,0.0,1.0,1.0,32.0,83.0,162.0
종로구,20.0,0.0,4.0,0.0,26.0,41.0,91.0
중구,21.0,2.0,3.0,0.0,18.0,47.0,91.0
중랑구,27.0,1.0,4.0,1.0,38.0,57.0,128.0
