상호명,분류,영업상태,도로명주소,시군구명,공사립구분,위도,경도,인허가일자,폐업일자
코엑스짐 중곡점,헬스장,영업중,"서울특별시 광진구 용마산로 44, 5층 (중곡동, 삼경빌딩)",광진구,사립,37.55764909543568,127.08537015560631,2010-11-24,
바디 퍼포먼스 짐,헬스장,영업중,서울특별시 광진구 구의강변로 86 (구의동),광진구,공립,37.53813926689138,127.09104269918762,2011-12-02,
초콜릿 휘트니스,헬스장,영업중,"서울특별시 광진구 능동로 373, 3층 (중곡동)",광진구,사립,37.56272521230024,127.07937798475588,2011-12-05,
골드헬스,헬스장,영업중,서울특별시 금천구 시흥대로50길 12-6  (시흥동),금천구,사립,37.451104822781204,126.89980248966135,2002-10-17,
그린헬스,헬스장,영업중,서울특별시 금천구 가산로 85 (독산동),금천구,사립,37.4735718236255,126.891638630922,2003-06-16,
삼성남녀헬스센타,헬스장,영업중,서울특별시 광진구 천호대로 527  (중곡동),광진구,사립,37.558422677430194,127.07446516362229,1995-10-16,
영광헬스피아,헬스장,영업중,서울특별시 광진구 자양로 52  (자양동),광진구,사립,37.53267533444773,127.08273690465427,1996-03-26,
역사헬스,헬스장,영업중,서울특별시 광진구 동일로 222  (군자동),광진구,사립,37.55143887554915,127.06664532326371,1996-04-02,
멜론짐,헬스장,영업중,서울특별시 광진구 구의로 39  (구의동),광진구,사립,37.54143040448412,127.08683555910835,1996-04-10,
파워헬스,헬스장,영업중,서울특별시 광진구 면목로11길 10  (중곡동),광진구,사립,37.56687503175884,127.07822854248813,1996-08-26,
세븐짐 휘트니스,헬스장,영업중,서울특별시 광진구 능동로7길 50 (자양동),광진구,사립,37.5377449865398,127.06352474985977,2012-03-27,
바디퍼포먼스 짐,헬스장,영업중,"서울특별시 광진구 천호대로 548, 지하1층 (군자동)",광진구,사립,37.55688795896381,127.07595106538577,2012-04-25,
아크로짐 구의점,헬스장,영업중,"서울특별시 광진구 광나루로 604, 지하1층 (구의동, 진넥스 베르디엠)",광진구,사립,37.54157315483544,127.09201994099051,2012-12-10,
제이 퍼스널 트레이닝 스튜디오,헬스장,영업중,"서울특별시 광진구 아차산로 477, 지하1층 (구의동)",광진구,사립,37.540732376021964,127.0917917637705,2013-10-08,
휘트니스피플우먼 구의점,헬스장,영업중,"서울특별시 광진구 아차산로 380, 5층 (자양동, 세화빌딩)",광진구,사립,37.53659630640539,127.08212871974636,1994-08-01,
광운헬스,헬스장,영업중,서울특별시 광진구 뚝섬로56길 59  (자양동),광진구,사립,37.528856631901824,127.08003112803529,1994-12-01,
주식회사 헬스보이컴퍼니,헬스장,영업중,"서울특별시 광진구 아차산로 272, 더샵스타시티 지하1층 (자양동)",광진구,사립,37.53780313522157,127.06974203232828,2018-01-17,
바디케어짐,헬스장,영업중,"서울특별시 광진구 천호대로 805, 석원빌딩 4층 (광장동)",광진구,사립,37.545742997020085,127.10037832681196,2018-01-19,
피트니스 아레나,헬스장,영업중,"서울특별시 광진구 아차산로 563, 대한제지(주) 사옥 지하2층 (광장동)",광진구,사립,37.54406276684761,127.10000214578392,2018-03-06,
미진헬스크럽,헬스장,영업중,서울특별시 금천구 독산로 56  (시흥동),금천구,사립,37.45234085808511,126.90338191400542,2000-05-23,
신협헬스장,헬스장,영업중,서울특별시 금천구 독산로 281  (독산동),금천구,사립,37.47182456085102,126.90003201329357,2000-05-31,
G.X휘트니스센터,헬스장,영업중,서울특별시 금천구 시흥대로 215 (시흥동),금천구,사립,37.452929145977805,126.89793441978672,2006-03-30,
JM휘트니스,헬스장,영업중,"서울특별시 광진구 영화사로 24  (중곡동,동화빌딩  5층)",광진구,사립,37.55717910870722,127.08684636946481,2005-07-14,
광명 휘트니스,헬스장,영업중,"서울특별시 광진구 면목로17길 40 (중곡동, 동방프라자 지하1층 101호, 102호)",광진구,사립,37.57089273171947,127.07818173152167,2005-10-24,
드림헬스클럽,헬스장,영업중,"서울특별시 광진구 천호대로129길 29  (중곡동,2층)",광진구,사립,37.55316702546625,127.08821765037794,2005-11-08,
휴먼짐,헬스장,영업중,"서울특별시 광진구 천호대로 675, 6층 (구의동, 화동빌딩)",광진구,사립,37.551015145369,127.087781233674,2006-01-23,
동방헬스,헬스장,영업중,"서울특별시 광진구 면목로17길 40, 2층 203호 (중곡동, 동방프라자)",광진구,사립,37.57089273171947,127.07818173152167,2001-05-09,
바디메이트 짐,헬스장,영업중,"서울특별시 광진구 용마산로 10, 4층 (중곡동, 대붕빌딩)",광진구,사립,37.5545461913508,127.08593052448902,2001-05-16,
뉴금천 휘트니스3,헬스장,영업중,서울특별시 금천구 독산로50길 89 (시흥동),금천구,사립,37.46327822173175,126.90655675875321,2007-03-29,
퍼펙트짐,헬스장,영업중,"서울특별시 금천구 한내로 62, 상가동 4010호 (독산동, 한신아파트)",금천구,사립,37.456520957890476,126.88514053346178,2007-11-08,
디지피트니스(DGFIT)&골프,헬스장,영업중,"서울특별시 금천구 시흥대로 202 (시흥동,지하1층)",금천구,사립,37.45202987799318,126.89909563113265,2009-07-23,
거봉 휘트니스,헬스장,영업중,"서울특별시 금천구 독산로64길 13  (독산동,3,4층)",금천구,사립,37.46513023759107,126.90039241422312,2009-11-04,
타운케이 휘트니스,헬스장,영업중,서울특별시 광진구 뚝섬로 632 (자양동),광진구,사립,37.53175767763778,127.07684390304593,2007-12-26,
이루어짐 구의점,헬스장,영업중,"서울특별시 광진구 아차산로 399, 3층 (구의동)",광진구,사립,37.53759414091152,127.08414419984713,2008-01-02,
맥스토탈휘트니스,헬스장,영업중,"서울특별시 광진구 아차산로 241, 6층 (화양동, 연한빌딩)",광진구,사립,37.54064679199156,127.067273994211,2008-02-25,
시너지휘트니스,헬스장,영업중,"서울특별시 광진구 광나루로 346, 2층 (화양동, 브라운스톤화양)",광진구,사립,37.54799420386471,127.06566425470021,2008-06-10,
휘트니스파크,헬스장,영업중,"서울특별시 광진구 능동로 259  (군자동,지하)",광진구,사립,37.5533557394002,127.07415750072194,2009-04-24,
머슬 H 휘트니스,헬스장,영업중,"서울특별시 광진구 군자로 108 (군자동, 군자빌딩)",광진구,사립,37.55258771157314,127.069191090988,1999-04-23,
상록헬스크리닉,헬스장,영업중,"서울특별시 광진구 뚝섬로23길 43  (자양동,2층)",광진구,사립,37.537359399598884,127.06293313990324,1999-07-15,
메트로헬스,헬스장,영업중,서울특별시 광진구 아차산로 373  (구의동),광진구,사립,37.53697131330754,127.08116207162782,1999-10-02,
아메리칸휘트니스,헬스장,영업중,서울특별시 금천구 독산로 347  (독산동),금천구,사립,37.47781058832994,126.90054960702523,2001-01-16,
아름다운휘트니스,헬스장,영업중,"서울특별시 광진구 뚝섬로 622-1  (자양동,지하1층)",광진구,사립,37.53205060383041,127.07589313249021,2007-04-25,
제이피트휘트니스,헬스장,영업중,"서울특별시 광진구 광나루로 410, B1층 04~06호 (화양동, KCC파크타운)",광진구,사립,37.546559478906936,127.07212218515828,2007-07-04,
휘트니스 트리,헬스장,영업중,"서울특별시 광진구 천호대로 646, 지하1층 (능동, 능동나이스빌딩)",광진구,사립,37.55292185383327,127.0856740412318,2007-09-28,
헬스보이짐&골프인 가산역점,헬스장,영업중,"서울특별시 금천구 벚꽃로 278, 비127호 (가산동, SJ테크노빌)",금천구,사립,37.47941840071551,126.88170007487214,2006-04-06,
퍼플짐앤요가,헬스장,영업중,서울특별시 금천구 독산로 217 (독산동),금천구,사립,37.46614187437978,126.89864732797696,2006-10-24,
비타민 휘트니스,헬스장,영업중,"서울특별시 금천구 시흥대로 399 (독산동,시티렉스 3층)",금천구,사립,37.46940739534095,126.89456262588334,2007-01-18,
주식회사 더랩스휘트니스 독산,헬스장,영업중,"서울특별시 금천구 남부순환로 1372, 현경빌딩 (독산동)",금천구,사립,37.47939147583528,126.90054511146332,2007-01-24,
시티짐 군자,헬스장,영업중,"서울특별시 광진구 군자로 75 (군자동, 지장빌딩)",광진구,사립,37.54994967919908,127.06774543138165,2000-05-12,
화인헬스,헬스장,영업중,서울특별시 광진구 자양로 173  (구의동),광진구,사립,37.54321983445314,127.08134324660244,2000-08-04,
몸가짐 퍼스널트레이닝,헬스장,영업중,"서울특별시 광진구 광나루로 396, 3층 (화양동)",광진구,사립,37.54720633226994,127.07068485930114,2015-02-09,
NX PT STUDIO,헬스장,영업중,"서울특별시 광진구 뚝섬로 656, 2층 (자양동)",광진구,사립,37.53130214729128,127.07947386804865,2015-06-19,
2MR 휘트니스,헬스장,영업중,"서울특별시 광진구 능동로 268, 2층 (능동)",광진구,사립,37.55385178874082,127.07515369359405,2015-06-25,
휘트니스 에이치투,헬스장,영업중,"서울특별시 광진구 능동로19길 57, 3층 301호 (화양동)",광진구,사립,37.54736643048873,127.06762051416172,2015-07-30,
휘트니스베이 24시 건대점,헬스장,영업중,"서울특별시 광진구 능동로19길 35, 지하3층 (화양동)",광진구,사립,37.54706753924095,127.06895087285017,2015-07-30,
노경우 퍼스널 트레이닝,헬스장,영업중,"서울특별시 광진구 아차산로 484, 지하1층 (구의동)",광진구,사립,37.540724365131936,127.09278149734149,2015-11-19,
워라밸피트니스 자양점,헬스장,영업중,"서울특별시 광진구 뚝섬로 585 (자양동, 신축빌딩)",광진구,사립,37.533684830353806,127.07221091518873,2015-12-29,
RSM 휘트니스,헬스장,영업중,서울특별시 금천구 가산디지털2로 30 (가산동),금천구,사립,37.471265924432764,126.88075503363135,2013-01-16,
움 Gym,헬스장,영업중,"서울특별시 금천구 서부샛길 606, 312~315호 (가산동, 대성 디폴리스)",금천구,사립,37.47974732558734,126.87415813209923,2013-01-18,
바디채널핏 독산점,헬스장,영업중,서울특별시 금천구 시흥대로 392 (독산동),금천구,사립,37.468451468972084,126.89547120755631,2013-04-12,
에스바디짐,헬스장,영업중,"서울특별시 금천구 벚꽃로 73, 302~304-1호 (독산동, 금천현대아파트)",금천구,사립,37.46226238834034,126.88749472472988,2013-11-14,
나다헬스,헬스장,영업중,"서울특별시 광진구 능동로4길 17, 3층 (자양동, 원우상가)",광진구,사립,37.53342338529754,127.06591437528958,2009-05-21,
마크짐 휘트니스 - 강변역점,헬스장,영업중,"서울특별시 광진구 구의강변로 45, 5층 (구의동, 구의동 복합빌딩)",광진구,사립,37.53498208279304,127.08836563247036,2009-09-15,
원모어 퍼스널트레이닝 스튜디오,헬스장,영업중,"서울특별시 광진구 광나루로17길 10  (군자동,3층)",광진구,사립,37.54813045718206,127.06997292961525,2010-05-12,
쉬리 여성전용 헬스클럽,헬스장,영업중,서울특별시 금천구 독산로 49 (시흥동),금천구,사립,37.451712027324895,126.90284349984212,2005-09-29,
지비휘트니스문화센터,헬스장,영업중,"서울특별시 금천구 시흥대로153길 99 (가산동,신평대일타운 6층)",금천구,사립,37.47578270709053,126.89048026863877,2005-10-10,
프라임헬스클럽,헬스장,영업중,"서울특별시 광진구 아차산로 453  (구의동,(4층))",광진구,사립,37.53940110910945,127.08950497434535,2003-03-11,
아차산헬스클럽,헬스장,영업중,서울특별시 광진구 자양로 312  (구의동),광진구,사립,37.55310514637637,127.09052961724377,2003-08-26,
군자휘트니스 크럽,헬스장,영업중,"서울특별시 광진구 천호대로 510  (군자동,(3층))",광진구,사립,37.55853309363115,127.07210838321826,1997-11-03,
순수여성헬스,헬스장,영업중,"서울특별시 광진구 아차산로 511  (광장동,지층)",광진구,사립,37.54215150538911,127.0952639614022,1999-01-14,
파나마 헬스클럽,헬스장,영업중,"서울특별시 광진구 자양로26길 31, 2층 201호 (구의동, 명진빌딩)",광진구,사립,37.54157681099988,127.08284950036558,2003-10-17,
비스코헬스케어,헬스장,영업중,"서울특별시 광진구 아차산로70길 62, 지하1,2층 (광장동, 광장현대3단지아파트)",광진구,사립,37.54062083883393,127.09571426343781,2003-11-06,
광진휘트니스,헬스장,영업중,"서울특별시 광진구 뚝섬로 489, 2층 (자양동, 노룬산시장)",광진구,사립,37.53648691610651,127.06197240100178,2003-12-23,
대원헬스,헬스장,영업중,"서울특별시 광진구 면목로 161 (중곡동, 중곡빌딩)",광진구,사립,37.567731520021844,127.07912971725831,2003-04-17,
웨스트짐,헬스장,영업중,서울특별시 광진구 자양로 86 (자양동),광진구,사립,37.535307325915625,127.08152515465417,2004-05-13,
