,공원명,시군구명,공원주소,경도,위도,면적(㎡),소분류
0,남산도시자연공원,중구,서울특별시 중구 삼일대로 231(예장동),126.9903773,37.5501402,2896887.0,공원
1,길동생태공원,강동구,서울특별시 강동구 천호대로 1291(길동생태공원) ,127.1547791,37.5403935,80683.0,공원
2,서울숲,성동구,서울특별시 성동구 뚝섬로 273 (성수동1가) ,127.0417982,37.5430717,480994.0,공원
3,월드컵공원,마포구,서울특별시 마포구 하늘공원로 84(월드컵공원),126.878907,37.571805,2284085.0,공원
4,광화문시민열린마당,종로구,서울특별시 종로구 세종로 76-2,126.9780227,37.5750449,8948.0,공원
5,진관근린공원(구파발폭포),은평구,서울특별시 은평구 진관동 393,126.9192155,37.6370244,7.0,공원
6,중마루근린공원,영등포구,서울특별시 영등포구 영등포동2가 222,126.9112668,37.519832,6456.0,공원
7,응봉공원,성동구,서울특별시 성동구 금호동1가 산1-72,127.0217653,37.5572281,80309.0,공원
8,매화근린공원,강서구,서울특별시 강서구 등촌동 630-14,126.86115,37.5575833,1980.0,공원
9,성수근린공원,성동구,서울특별시 성동구 성수2가 3동 302-25,127.0524023,37.5448144,5197.0,공원
10,샛마을근린공원,강동구,서울특별시 강동구 명일1동 288,127.1471618,37.5504807,11467.0,공원
11,여의도근린공원,영등포구,서울특별시 영등포구 여의공원로 68 (여의도동),126.922377,37.526129,229539.0,공원
12,간데메근린공원,동대문구,서울특별시 동대문구 서울시립대로2길 59(간데메공원),127.0488644,37.5732438,15179.0,공원
13,훈련원근린공원,중구,서울특별시 중구 을지로 227,127.0038188,37.5675245,16734.0,공원
14,영등포근린공원,영등포구,서울특별시 영등포구 신길로 275,126.910662,37.515423,61544.0,공원
15,보라매근린공원,동작구,서울특별시 동작구 여의대방로20길 33(보라매공원),126.918289,37.492333,424106.0,공원
16,어린이대공원,광진구,서울특별시 광진구 능동로 216(어린이대공원),127.0809212,37.5498987,560552.0,공원
17,천호근린공원,강동구,서울특별시 강동구 올림픽로 702(천호공원),127.1263451,37.5444741,26696.0,공원
18,용산가족공원,용산구,서울특별시 용산구 서빙고로 185,126.983335,37.522226,75900.0,공원
19,독립근린공원,서대문구,서울특별시 서대문구 통일로251(독립공원),126.956771,37.5738289,113021.0,공원
20,낙산근린공원,종로구,서울특별시 종로구 낙산길 41 (우) 03085,127.007587,37.580477,201779.0,공원
21,양재시민의숲,서초구,서울특별시 서초구 매헌로 99 (양재동),127.035042,37.471225,258991.0,공원
22,관악산도시자연공원,관악구,서울특별시 관악구 관악로 1(관악산공원),126.96413,37.445208,10420819.0,공원
23,효창근린공원,용산구,서울특별시 용산구 효창원로 177-18,126.95993,37.545234,171294.0,공원
24,감로천생태공원(관악산),금천구,서울특별시 금천구 독산4동 371?375 373일대,126.9079509,37.469625,15000.0,공원
25,개운산근린공원,성북구,서울특별시 성북구 북악산로 949-73(돈암동 6-1),127.0252858,37.5965837,297926.0,공원
26,개웅산근린공원,구로구,서울특별시 구로구 오류동 산13-1,126.8485734,37.4888943,411972.0,공원
27,경희궁,종로구,서울특별시 종로구 새문안로 55(신문로2가 2-1),126.9685341,37.570773,98470.0,공원
28,국립현충원,동작구,서울특별시 동작구 사당2동 산41-2,126.9736849,37.4998621,2038741.0,공원
29,계남근린공원,양천구,서울특별시 양천구 신정동 산44-2일대,126.8479643,37.5138358,603715.0,공원
30,고척근린공원,구로구,서울특별시 구로구 고척로45길 39(고척공원),126.8521495,37.5042944,108120.0,공원
31,파리근린공원,양천구,서울특별시 양천구 목동동로 363 ,126.8763932,37.5349739,29619.0,공원
32,허준공원,강서구,서울특별시 강서구 허준로5길 42,126.8526745,37.5679874,29843.0,공원
33,궁동근린공원,서대문구,서울특별시 서대문구 성산로7길 19-24(궁동공원) ,126.9229851,37.5690506,126026.0,공원
34,궁산근린공원,강서구,서울특별시 강서구 가양동 산4-7,126.838952,37.5735645,135002.0,공원
35,까치산근린공원,동작구,서울특별시 동작구 사당동 산32,126.9640735,37.4845836,384026.0,공원
36,꿩고개근린공원,강서구,서울특별시 강서구 방화동 산110,126.8157075,37.5801585,180000.0,공원
37,노량진공원,동작구,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71),126.928607,37.510234,416031.0,공원
38,답십리근린공원,동대문구,서울특별시 동대문구 답십리로 209(답십리공원) ,127.0626512,37.5750896,160720.0,공원
39,대모산도시자연공원,강남구,서울특별시 강남구 광평로10길 30-71(대모산공원) ,127.0809639,37.4796489,2277252.0,공원
40,탑골근린공원,종로구,서울특별시 종로구 종로 99,126.9882853,37.5710052,19599.0,공원
41,갈산근린공원,양천구,서울특별시 양천구 신정동 162-56,126.8689146,37.5082119,138596.0,공원
42,천마근린공원,송파구,서울특별시 송파구 마천동 산 1-1,127.1586644,37.5005173,185295.0,공원
43,도곡근린공원,강남구,서울특별시 강남구 도곡동 산31-1,127.0450338,37.4903127,254648.0,공원
44,도산근린공원,강남구,서울특별시 강남구 도산대로45길 20(도산공원),127.0350296,37.5246752,29816.0,공원
45,청량공원,성북구,서울특별시 성북구 화랑로18가길 50,127.0511145,37.6020055,762642.0,공원
46,초안산근린공원,도봉구,서울특별시 도봉구 창동 산157,127.0455446,37.648316,664905.0,공원
47,동명근린공원,강동구,서울특별시 강동구 고덕2동 229,127.1676703,37.5598341,99599.0,공원
48,마로니에공원,종로구,서울특별시 종로구 대학로8길 1,127.0027886,37.5802295,5802.0,공원
49,자매근린공원,영등포구,서울특별시 영등포구 의사당대로 166 (우) 07324,126.9302895,37.5177329,16500.0,공원
50,장지근린공원,송파구,서울특별시 송파구 장지동 산 11번지,127.1387,37.4957083,585652.0,공원
51,명일근린공원,강동구,서울특별시 강동구 상일동 135,127.1613641,37.5537143,649709.0,공원
52,방화근린공원,강서구,서울특별시 강서구 금낭화로 176(방화공원),126.8132285,37.5819812,72132.0,공원
53,아시아근린공원,송파구,서울특별시 송파구 올림픽로 44 (잠실동),127.0762885,37.5102779,66027.0,공원
54,배봉산근린공원,동대문구,서울특별시 동대문구 한천로43길 12-14(배봉산공원) ,127.0641623,37.5812324,265582.0,공원
55,안산도시자연공원,서대문구,서울특별시 서대문구 홍제동 산33-98,126.9390273,37.5798246,2088704.0,공원
56,염창근린공원,강서구,서울특별시 강서구 염창동 산24-1,126.8689817,37.5579702,112070.0,공원
57,백련근린공원,서대문구,서울특별시 서대문구 통일로 507-22(백련공원) ,126.928616,37.5879662,993724.0,공원
58,오금근린공원,송파구,서울특별시 송파구 오금로 363 오금근린공원 ,127.1323957,37.5038715,219167.0,공원
59,오동근린공원,강북구,서울특별시 강북구 번동 산20-1,127.0317269,37.6327957,1349556.0,공원
60,봉산도시자연공원,은평구,서울특별시 은평구 구산동 산61,126.9020153,37.604071,1511198.0,공원
61,온수도시자연공원,구로구,서울특별시 구로구 개봉동 산2-60,126.83695,37.5002598,1097565.0,공원
62,봉은공원,강남구,서울특별시 강남구 삼성동 75,127.0554961,37.5139026,328018.0,공원
63,올림픽공원,송파구,서울특별시 송파구 올림픽로 424 (방이동),127.122959,37.520934,1447122.0,공원
64,와룡근린공원,종로구,서울특별시 종로구 와룡공원길 192 (우) 03063,126.9901672,37.5907944,207790.0,공원
65,봉화산근린공원,중랑구,서울특별시 중랑구 묵동 산46-1,127.0923625,37.6106404,1018689.0,공원
66,북악산도시자연공원,종로구,서울특별시 종로구 부암동 산2-6,126.9737295,37.5929992,954553.0,공원
67,북한산국립공원,강북구,서울특별시 종로구 은평구 서대문구 성북구 강북구 도봉구 일대 경기도 의정부 양주군 고양시 일대,127.000938,37.624549,1667848.0,공원
68,외국인묘지공원,마포구,서울특별시 마포구 양화진길 46(외국인묘지공원),126.911414,37.546797,13224.0,공원
69,불광근린공원,은평구,서울특별시 은평구 불광동 산33-1,126.9298962,37.6188016,130345.0,공원
