일자,불쾌지수,최고기온(℃),최저기온(℃),rain,계절
2016-02-01,39.275534,5.0,-4.1,0.0,겨울
2016-02-02,36.562925,6.2,-9.1,0.0,겨울
2016-02-03,35.796707,7.7,-9.3,0.0,겨울
2016-02-04,38.396068,7.7,-7.7,0.0,겨울
2016-02-05,41.575228,9.6,-6.5,0.0,겨울
2016-02-11,46.523969,14.4,-3.0,0.0,겨울
2016-02-12,49.18304,14.4,5.8,62.8,겨울
2016-02-15,39.02356,2.3,-4.4,0.0,겨울
2016-02-16,38.057208,5.4,-6.3,0.0,겨울
2016-02-17,41.393734,8.1,-3.4,0.0,겨울
2016-02-18,40.732786000000004,10.3,-6.1,0.0,겨울
2016-02-19,44.84285,13.7,-2.7,0.0,겨울
2016-02-22,44.07903,7.0,-2.0,0.0,겨울
2016-02-23,47.257275,11.9,-0.1,0.0,겨울
2016-02-24,43.572714000000005,7.1,-4.0,0.0,겨울
2016-02-25,42.517376,7.6,-4.2,0.0,겨울
2016-02-26,40.12202,8.3,-5.9,0.0,겨울
2016-02-29,39.787876,3.5,-4.6,0.0,겨울
2016-03-02,44.151151999999996,11.8,-6.8,0.0,봄
2016-03-03,46.981127,16.0,-3.4,0.0,봄
2016-03-04,47.477112,9.7,6.6,36.1,봄
2016-03-07,52.89802,17.7,6.8,0.0,봄
2016-03-08,48.62662,11.3,3.4,3.3,봄
2016-03-09,45.331968,12.6,1.2,6.8,봄
2016-03-10,44.9911,8.5,-1.3,0.0,봄
2016-03-11,43.71888,8.4,-3.3,0.0,봄
2016-03-14,46.283225,13.9,-1.7,0.0,봄
2016-03-15,46.925631,14.5,-3.3,0.0,봄
2016-03-16,49.926496,16.7,2.8,0.0,봄
2016-03-17,51.016571,18.7,-1.1,0.0,봄
2016-03-18,50.131986,12.1,7.9,27.6,봄
2016-03-21,50.649875,16.6,3.5,0.0,봄
2016-03-22,50.98258,18.4,2.6,0.0,봄
2016-03-23,52.762685000000005,17.2,3.3,0.0,봄
2016-03-24,50.249152,12.6,5.6,0.0,봄
2016-03-25,46.449856,11.5,4.1,2.8,봄
2016-03-28,50.117984,17.5,-1.5,0.0,봄
2016-03-29,52.7428,15.9,1.5,0.0,봄
2016-03-30,57.136032,21.6,6.8,0.0,봄
2016-03-31,54.52202,20.9,4.6,0.0,봄
2016-04-01,56.836972,24.3,4.1,0.0,봄
2016-04-04,52.741372,13.8,9.8,2.6,봄
2016-04-05,54.991968,20.2,7.2,0.0,봄
2016-04-06,54.158918,20.5,5.2,26.1,봄
2016-04-07,54.34885,17.6,8.6,28.7,봄
2016-04-08,58.78165,23.0,9.1,0.0,봄
2016-04-11,52.66672,12.6,9.2,0.0,봄
2016-04-12,53.90681,18.6,4.3,3.1,봄
2016-04-14,61.665304000000006,25.8,11.3,0.0,봄
2016-04-15,55.842303,21.2,5.3,0.0,봄
2016-04-18,57.945080000000004,20.7,8.6,0.0,봄
2016-04-19,56.800225,21.0,6.2,0.0,봄
2016-04-20,56.68522,21.0,5.5,0.0,봄
2016-04-21,56.910180000000004,17.3,11.1,33.2,봄
2016-04-22,61.86377,24.5,12.5,0.0,봄
2016-04-25,59.262136,26.3,6.9,0.0,봄
2016-04-26,60.630918,25.6,5.7,1.2,봄
2016-04-27,52.98717,14.7,10.7,42.9,봄
2016-04-28,57.458089,19.5,10.5,5.0,봄
2016-04-29,58.79815,20.6,11.5,0.0,봄
2016-05-02,63.202856,23.5,10.2,0.0,봄
2016-05-03,61.167244,20.8,14.2,80.6,봄
2016-05-04,61.794328,24.9,10.5,0.0,봄
2016-05-09,62.271076,22.0,13.8,0.0,봄
2016-05-10,57.92616,17.3,12.2,31.3,봄
2016-05-11,60.068266,21.7,12.2,0.1,봄
2016-05-12,62.536616,24.1,11.2,0.0,봄
2016-05-13,60.669883999999996,23.3,10.9,0.0,봄
2016-05-16,58.908069,22.6,8.0,6.0,봄
2016-05-17,60.625568,27.8,4.7,0.0,봄
2016-05-18,64.663376,31.0,8.3,0.0,봄
2016-05-19,64.33286000000001,29.2,10.2,0.0,봄
2016-05-20,64.596078,28.7,10.0,0.0,봄
2016-05-23,65.349536,27.6,10.0,0.0,봄
2016-05-24,65.09124499999999,20.4,15.4,25.6,봄
2016-05-25,65.206567,27.0,12.6,0.0,봄
2016-05-26,66.941006,27.7,12.8,0.0,봄
2016-05-27,69.0548,29.2,17.8,0.0,봄
2016-05-30,67.829165,31.1,12.7,0.0,봄
2016-05-31,67.64531199999999,29.8,12.5,0.0,봄
2016-06-01,66.208304,26.3,15.1,0.0,여름
2016-06-02,64.07916,27.3,10.9,0.0,여름
2016-06-03,66.442185,28.3,12.1,0.0,여름
2016-06-07,68.457941,26.7,17.4,0.0,여름
2016-06-08,68.82239999999999,24.6,17.9,0.0,여름
2016-06-09,69.400727,28.2,18.1,0.0,여름
2016-06-10,70.227125,28.6,17.8,0.0,여름
2016-06-13,71.454312,28.5,20.5,0.0,여름
2016-06-14,70.89287999999999,28.0,20.1,0.0,여름
2016-06-15,69.84046599999999,24.2,18.5,0.0,여름
2016-06-16,71.653872,28.7,17.2,0.0,여름
2016-06-17,69.398004,30.6,14.5,0.0,여름
2016-06-20,71.76611199999999,26.4,20.9,5.2,여름
2016-06-21,71.54964000000001,25.4,21.2,2.0,여름
2016-06-22,69.882755,22.7,20.6,11.8,여름
2016-06-23,72.05770799999999,29.6,20.4,0.0,여름
2016-06-24,70.897025,28.0,19.8,73.6,여름
2016-06-27,67.646928,24.6,16.8,0.1,여름
2016-06-28,68.50751,25.7,17.7,0.0,여름
2016-06-29,69.349856,25.0,18.4,1.7,여름
2016-06-30,72.354595,29.0,19.4,0.0,여름
2016-07-01,73.578406,25.5,22.2,43.1,여름
2016-07-04,73.75634600000001,27.9,20.3,0.5,여름
2016-07-05,77.420415,29.7,24.5,0.1,여름
2016-07-06,76.987096,30.3,23.8,9.3,여름
2016-07-07,76.136321,31.1,22.4,0.0,여름
2016-07-08,75.152805,30.9,22.0,0.0,여름
2016-07-11,74.43174400000001,27.7,22.9,2.2,여름
2016-07-12,74.285144,26.9,22.6,4.2,여름
2016-07-13,76.202842,30.2,22.1,0.0,여름
2016-07-14,76.068243,33.0,21.7,0.0,여름
2016-07-15,73.33205000000001,30.2,22.1,0.0,여름
2016-07-18,73.06658200000001,30.0,19.2,0.0,여름
2016-07-19,73.87098499999999,30.6,21.2,0.0,여름
2016-07-20,72.89448999999999,30.5,19.4,0.0,여름
2016-07-21,72.98852600000001,30.1,20.0,0.0,여름
2016-07-22,72.8823,28.9,20.6,0.0,여름
2016-07-25,79.23288,33.4,24.5,28.4,여름
2016-07-26,78.9779,32.7,23.4,0.0,여름
2016-07-27,79.500024,32.9,25.0,0.0,여름
2016-07-28,79.934168,32.5,26.4,0.0,여름
2016-07-29,79.920444,34.1,25.0,0.0,여름
2016-08-01,77.047448,34.2,23.3,1.6,여름
2016-08-02,76.227049,33.0,22.9,10.2,여름
2016-08-03,76.476037,31.3,22.4,0.5,여름
2016-08-04,77.47234399999999,32.4,23.2,0.0,여름
2016-08-05,77.89685399999999,33.7,22.5,0.0,여름
2016-08-08,78.01025,36.2,23.4,0.4,여름
2016-08-09,77.959588,33.0,23.4,0.0,여름
2016-08-10,79.59203,35.3,23.5,0.0,여름
2016-08-11,80.78597099999999,37.5,24.4,0.0,여름
2016-08-12,81.543385,36.4,24.9,0.0,여름
2016-08-16,77.77304000000001,33.9,24.5,0.0,여름
2016-08-17,77.585656,34.1,23.4,13.9,여름
2016-08-18,77.373648,33.8,22.5,0.0,여름
2016-08-19,77.480325,34.2,21.9,0.0,여름
2016-08-22,78.32584800000001,35.7,22.4,0.2,여름
2016-08-23,76.93736,31.1,23.4,1.1,여름
2016-08-24,75.36429,34.6,20.8,0.0,여름
2016-08-25,76.14946,34.3,19.0,0.0,여름
2016-08-26,70.309674,29.7,18.5,3.8,여름
2016-08-29,67.416879,27.1,15.0,0.1,여름
2016-08-30,68.24148,25.6,14.8,0.0,여름
2016-08-31,70.857872,29.0,20.5,0.0,여름
2016-09-01,73.26935,30.5,20.7,20.8,가을
2016-09-02,66.079784,21.8,18.2,76.4,가을
2016-09-05,75.04997900000001,29.5,21.9,0.5,가을
2016-09-06,73.763612,27.3,21.9,0.0,가을
2016-09-07,72.62188,27.2,20.8,0.0,가을
2016-09-08,71.143327,29.7,17.4,0.0,가을
2016-09-09,71.35206,29.5,18.4,0.0,가을
2016-09-12,67.664653,24.6,17.4,8.5,가을
2016-09-13,69.390372,28.3,15.7,0.0,가을
2016-09-19,66.937625,24.2,18.0,0.0,가을
2016-09-20,64.12326999999999,24.5,12.8,0.0,가을
2016-09-21,63.287679999999995,23.9,11.1,0.0,가을
2016-09-22,65.0725,23.7,15.6,0.0,가을
2016-09-23,66.266782,27.2,13.5,0.0,가을
2016-09-26,69.795792,25.9,18.1,3.8,가을
2016-09-27,73.65938,29.5,20.6,0.0,가을
2016-09-28,70.852,24.5,19.9,16.7,가을
2016-09-29,65.087032,20.4,16.4,4.0,가을
2016-09-30,62.30905,18.6,15.8,30.7,가을
2016-10-04,69.20832200000001,28.4,16.0,1.9,가을
2016-10-05,66.977,27.8,16.0,82.2,가을
2016-10-06,64.630535,27.4,13.0,0.0,가을
2016-10-07,64.17278300000001,22.6,14.0,1.6,가을
2016-10-10,57.933244,20.4,8.1,0.0,가을
2016-10-11,57.770888,19.6,11.2,0.0,가을
2016-10-12,59.735656,23.9,9.2,0.0,가을
2016-10-13,59.203668,19.7,11.6,0.0,가을
2016-10-14,58.541792,23.9,8.1,0.0,가을
2016-10-17,63.847359999999995,24.8,14.1,0.0,가을
2016-10-18,61.582138,22.4,11.7,0.0,가을
2016-10-19,61.604468,23.8,11.7,0.0,가을
2016-10-20,60.779378,22.2,10.0,0.0,가을
2016-10-21,61.095605,18.5,14.5,0.0,가을
2016-10-24,58.511168,19.9,11.6,0.0,가을
2016-10-25,58.741526,21.9,10.9,3.5,가을
2016-10-26,57.140736000000004,20.1,8.6,0.0,가을
2016-10-27,57.631147999999996,19.0,7.1,0.0,가을
2016-10-28,57.28184,15.5,12.4,10.7,가을
2016-10-31,47.457489,10.5,3.7,0.7,가을
2016-11-01,46.904759999999996,12.8,0.4,0.0,가을
2016-11-02,45.769635,14.3,-1.8,0.0,가을
2016-11-03,47.656113000000005,16.3,0.7,0.0,가을
2016-11-04,50.766760000000005,17.5,1.3,0.0,가을
2016-11-07,54.888744,18.4,6.0,0.0,가을
2016-11-08,53.476572000000004,15.6,5.0,0.0,가을
2016-11-09,46.984297999999995,13.0,-0.1,0.0,가을
2016-11-10,50.413544,15.3,4.1,0.0,가을
2016-11-11,49.84395,17.4,3.7,0.0,가을
2016-11-14,57.753728,16.3,12.8,4.0,가을
2016-11-15,53.709720000000004,18.9,2.1,0.0,가을
2016-11-16,47.05013,16.5,-0.8,0.0,가을
2016-11-17,50.395871,17.8,3.0,0.0,가을
2016-11-18,50.486032,16.3,2.1,25.0,가을
2016-11-21,51.905018,16.2,6.0,0.0,가을
2016-11-22,50.164608,14.1,5.3,0.0,가을
2016-11-23,48.977415,11.8,2.1,0.0,가을
2016-11-24,45.048615,8.5,-0.2,0.0,가을
2016-11-25,43.292604,10.8,-2.7,0.0,가을
2016-11-28,43.039015,11.8,-1.0,0.0,가을
2016-11-29,43.34028,12.4,-3.6,0.0,가을
